sample,fastq_1,fastq_2,strandedness
d226001.WT_AL_Stem,data/250812Yil_D25-226001_NA_sequence.fastq.gz,,auto
d226002.Tfe3.Tfeb_AL_Stem,data/250812Yil_D25-226002_NA_sequence.fastq.gz,,auto
d226003.Tfe3.Tfeb_Fast_Stem,data/250812Yil_D25-226003_NA_sequence.fastq.gz,,auto
d226004.Tfe3.Tfeb_AL_Prog,data/250812Yil_D25-226004_NA_sequence.fastq.gz,,auto
d226005.Tfeb_Fast_Prog,data/250812Yil_D25-226005_NA_sequence.fastq.gz,,auto
d226006.WT_AL_Stem,data/250812Yil_D25-226006_NA_sequence.fastq.gz,,auto
d226007.Tfeb_Fast_Stem,data/250812Yil_D25-226007_NA_sequence.fastq.gz,,auto
d226008.WT_AL_Prog,data/250812Yil_D25-226008_NA_sequence.fastq.gz,,auto
d226009.Tfe3.Tfeb_AL_Prog,data/250812Yil_D25-226009_NA_sequence.fastq.gz,,auto
d226010.WT_AL_Prog,data/250812Yil_D25-226010_NA_sequence.fastq.gz,,auto
d226011.Tfe3.Tfeb_AL_Stem,data/250812Yil_D25-226011_NA_sequence.fastq.gz,,auto
d226012.Tfe3_AL_Stem,data/250812Yil_D25-226012_NA_sequence.fastq.gz,,auto
d226013.WT_AL_Stem,data/250812Yil_D25-226013_NA_sequence.fastq.gz,,auto
d226014.Tfeb_AL_Stem,data/250812Yil_D25-226014_NA_sequence.fastq.gz,,auto
d226015.Tfe3.Tfeb_AL_Prog,data/250812Yil_D25-226015_NA_sequence.fastq.gz,,auto
d226016.WT_AL_Prog,data/250812Yil_D25-226016_NA_sequence.fastq.gz,,auto
d226017.Tfeb_AL_Prog,data/250812Yil_D25-226017_NA_sequence.fastq.gz,,auto
d226018.Tfe3.Tfeb_AL_Stem,data/250812Yil_D25-226018_NA_sequence.fastq.gz,,auto
d226019.Tfe3_AL_Stem,data/250812Yil_D25-226019_NA_sequence.fastq.gz,,auto
d226020.Tfe3_AL_Stem,data/250812Yil_D25-226020_NA_sequence.fastq.gz,,auto
d226021.Tfeb_AL_Stem,data/250812Yil_D25-226021_NA_sequence.fastq.gz,,auto
d226022.Tfe3.Tfeb_AL_Prog,data/250812Yil_D25-226022_NA_sequence.fastq.gz,,auto
d226023.Tfe3_AL_Prog,data/250812Yil_D25-226023_NA_sequence.fastq.gz,,auto
d226024.Tfe3.Tfeb_AL_Stem,data/250812Yil_D25-226024_NA_sequence.fastq.gz,,auto
d226025.Tfe3_AL_Stem,data/250812Yil_D25-226025_NA_sequence.fastq.gz,,auto
d226026.Tfe3_AL_Stem,data/250812Yil_D25-226026_NA_sequence.fastq.gz,,auto
d226027.Tfeb_AL_Stem,data/250812Yil_D25-226027_NA_sequence.fastq.gz,,auto
d226028.Tfe3.Tfeb_AL_Prog,data/250812Yil_D25-226028_NA_sequence.fastq.gz,,auto
d226029.Tfe3_AL_Prog,data/250812Yil_D25-226029_NA_sequence.fastq.gz,,auto
d226030.Tfe3_AL_Prog,data/250812Yil_D25-226030_NA_sequence.fastq.gz,,auto
d226031.WT_Fast_Stem,data/250812Yil_D25-226031_NA_sequence.fastq.gz,,auto
d226032.Tfe3_AL_Stem,data/250812Yil_D25-226032_NA_sequence.fastq.gz,,auto
d226033.Tfeb_AL_Stem,data/250812Yil_D25-226033_NA_sequence.fastq.gz,,auto
d226034.WT_Fast_Prog,data/250812Yil_D25-226034_NA_sequence.fastq.gz,,auto
d226035.Tfe3.Tfeb_Fast_Stem,data/250812Yil_D25-226035_NA_sequence.fastq.gz,,auto
d226036.Tfe3_AL_Stem,data/250812Yil_D25-226036_NA_sequence.fastq.gz,,auto
d226037.WT_Fast_Stem,data/250812Yil_D25-226037_NA_sequence.fastq.gz,,auto
d226038.Tfeb_AL_Stem,data/250812Yil_D25-226038_NA_sequence.fastq.gz,,auto
d226039.Tfe3.Tfeb_Fast_Prog,data/250812Yil_D25-226039_NA_sequence.fastq.gz,,auto
d226040.Tfe3.Tfeb_Fast_Stem,data/250812Yil_D25-226040_NA_sequence.fastq.gz,,auto
